field_code,table,column,label_en,category,policy_relevance,confidence,notes
field_1570,cra.cra_financial_general,field_1570,Activities outside Canada (yes/no flag),flag,"Foreign-aid / international development spending — relevant for filtering charities that operate outside Canada when discussing foreign-policy commitments.",high,Section C flag. True when charity reports any activity outside Canada (drives Schedule 2).
field_1600,cra.cra_financial_general,field_1600,Engaged in any fundraising activities (flag),flag,Mostly housekeeping; useful only as a denominator filter.,medium,Section C flag.
field_1610,cra.cra_financial_general,field_1610,Fundraising — auctions (flag),flag,Generally not policy-relevant.,medium,Section C fundraising-method flags 1610-1650.
field_1800,cra.cra_financial_general,field_1800,Public policy dialogue and development activities (flag),flag,"Formerly ""political activities"". Identifies charities engaged in policy advocacy — relevant when analysing whether advocacy work aligns with stated federal policy themes.",high,Section C flag; renamed by CRA from ""political activities"" circa 2019. Companion expenditure line is field_5030.
field_2000,cra.cra_financial_general,field_2000,Made gifts to qualified donees (flag),flag,Identifies charities that act as funders to other charities (foundations & flow-through structures).,high,Section C flag. Companion expenditure line is field_5500.
field_2100,cra.cra_financial_general,field_2100,Gifts to non-qualified donees (flag / count),flag,"Recent CRA addition — relevant when looking at charity-to-non-charity transfers.",medium,Section C; verify exact field semantics against current T3010.
field_4500,cra.cra_financial_details,field_4500,Revenue received from other registered charities,revenue,Captures inter-charity flows; useful for tracking grants between foundations.,medium,Schedule 6 revenue line. Verify against form before quoting.
field_4510,cra.cra_financial_details,field_4510,Total eligible (tax-receipted) gifts,revenue,Identifies donor-funded charities (vs government-funded).,high,Schedule 6 revenue line. Pairs with field_5610.
field_4540,cra.cra_financial_details,field_4540,Total revenue received from federal government,revenue,"Direct federal funding to charities — central to ""did fed money reach the charity sector serving theme X"" questions.",high,Schedule 6. Already aggregated in cra.govt_funding_by_charity.federal.
field_4550,cra.cra_financial_details,field_4550,Total revenue received from provincial / territorial governments,revenue,Provincial complement to federal funding.,high,Schedule 6. Already in cra.govt_funding_by_charity.provincial.
field_4560,cra.cra_financial_details,field_4560,Total revenue received from municipal / regional governments,revenue,Municipal funding.,high,Schedule 6. Already in cra.govt_funding_by_charity.municipal.
field_4565,cra.cra_financial_details,field_4565,Total revenue from non-Canadian sources / other governments,revenue,"Foreign-funding flag — relevant when contrasting with the stated ""Canadian sources"" narrative.",medium,Schedule 6. Verify wording.
field_4570,cra.cra_financial_details,field_4570,Interest and investment income,revenue,"Identifies endowment-heavy foundations vs operating charities.",high,Schedule 6.
field_4630,cra.cra_financial_details,field_4630,Other revenue not already included,revenue,Catch-all; usually noisy.,medium,Schedule 6.
field_4650,cra.cra_financial_details,field_4650,Total revenue from all other sources (subtotal),subtotal_rev,Subtotal — use only if you understand which lines roll into it.,medium,Schedule 6 subtotal.
field_4700,cra.cra_financial_details,field_4700,Total revenue (all sources) — grand total,subtotal_rev,"The denominator for ""govt share of revenue"" calculations and any ratio analysis.",high,"Schedule 6 grand total. Verify whether 4700 vs 4650 is the correct ""total"" for the year you're analysing — CRA renumbered some subtotals across form versions."
field_4800,cra.cra_financial_details,field_4800,Advertising and promotion expenditures,expense,"Marketing spend — relevant when looking at charities with large public-comms presence.",high,Schedule 6 operating expenditures.
field_4880,cra.cra_financial_details,field_4880,Total compensation (salaries / wages / benefits / honoraria),expense,Drives the per-charity wage-bill; contrast with cra.cra_compensation top-10 detail.,high,Schedule 6.
field_4920,cra.cra_financial_details,field_4920,Amortization of capitalized assets,expense,Non-cash; usually excluded from policy-spend analysis.,medium,Schedule 6.
field_4950,cra.cra_financial_details,field_4950,Total operating expenditures (subtotal),subtotal_exp,Subtotal of 4800-4920.,medium,Schedule 6 subtotal.
field_5000,cra.cra_financial_details,field_5000,Total expenditures on charitable activities (programs),expense,"The ""program"" share of spending — best proxy for ""money actually spent on the cause"".",high,Schedule 6 functional split.
field_5010,cra.cra_financial_details,field_5010,Total expenditures on management and administration,expense,Overhead.,high,Schedule 6 functional split. Pairs with cra.overhead_by_charity.
field_5020,cra.cra_financial_details,field_5020,Total expenditures on fundraising,expense,Fundraising overhead.,high,Schedule 6 functional split.
field_5030,cra.cra_financial_details,field_5030,Total expenditures on public policy dialogue and development activities,expense,"Direct measure of advocacy spending — useful for ""how much do charities advocating on theme X actually spend on advocacy?""",high,"Schedule 6 functional split (formerly ""political activities""). Companion flag is field_1800."
field_5040,cra.cra_financial_details,field_5040,Other expenditures (specify),expense,Catch-all.,medium,Schedule 6.
field_5050,cra.cra_financial_details,field_5050,Total expenditures on charitable activities (subtotal incl. programs/admin/fundraising),subtotal_exp,Subtotal — overlaps with 5000 if you double-count.,medium,Schedule 6 subtotal; verify against form for the year.
field_5100,cra.cra_financial_details,field_5100,Total expenditures before gifts to qualified donees,subtotal_exp,Pre-gift total.,medium,Schedule 6.
field_5500,cra.cra_financial_details,field_5500,Total gifts to qualified donees,expense,"Captures foundation pass-through grants; large at the big foundations.",high,Schedule 6. Companion flag is field_2000.
field_5610,cra.cra_financial_details,field_5610,Receipted donations issued,subtotal_rev,Useful for cross-checking 4510.,medium,Schedule 6.
field_5750,cra.cra_financial_details,field_5750,Total expenditures on activities outside Canada,expense,Foreign-activity spend; pairs with the field_1570 flag.,high,Schedule 6 / Schedule 2.
field_5900,cra.cra_financial_details,field_5900,Total expenditures — grand total (all categories),subtotal_exp,"Final denominator for any ""share-of-spending"" calculations.",high,Schedule 6 grand total.
field_5910,cra.cra_financial_details,field_5910,Total non-cash expenditures included in 5900,subtotal_exp,Used to back out non-cash items if comparing to govt funding flows.,medium,Schedule 6.
